Set,ID,Number,Rarity,Name,Owned,Link,
CB32,CB32-018,018,Common,Ultraman Geed Acro Smasher,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10018.jpg,
CB32,CB32-019,019,Common,Ultraman Geed Magnificent,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10019.jpg,
CB32,CB32-020,020,Common,Ultraman Zett Alpha Edge ［3］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10020.jpg,
CB32,CB32-021,021,Master Rare,The BelatedProtagonist Ultraman Zero Beyond,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10021.jpg,
CB32,CB32-021,077,Master Rare (Secret),The BelatedProtagonist Ultraman Zero Beyond (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10077.jpg,
CB32,CB32-022,022,Rare,Ultraman Geed Royal Megamaster,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10022.jpg,
CB32,CB32-023,023,Rare,The HallucinationAlien Metron Seijin ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10023.jpg,
CB32,CB32-024,024,Rare,The SpaceKaiju Eleking ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10024.jpg,
CB32,CB32-025,025,Rare,The TankKaiju Dinosaur Tank ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10025.jpg,
CB32,CB32-026,026,Common,The CloneAlien Guts Seijin ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10026.jpg,
CB32,CB32-027,027,Common,The SpaceRobot King Joe ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10027.jpg,
CB32,CB32-027,078,Master Rare (Secret),The SpaceRobot King Joe ［First Generation Ultra Kaiju］(Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10078.jpg,
CB32,CB32-028,028,Master Rare,The RobotKaiju Crazygon ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10028.jpg,
CB32,CB32-029,029,Master Rare,YouPi the Robot,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10029.jpg,
CB32,CB32-030,030,Common,The SpecialTacticalMonster Earth Garon,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10030.jpg,
CB32,CB32-031,031,Master Rare,Ultra Brothers Ultraseven ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10031.jpg,
CB32,CB32-032,032,Master Rare,Ultra Brothers Ultraman Ace ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10032.jpg,
CB32,CB32-032,079,Master Rare (Secret),Ultra Brothers Ultraman Ace ［2］(Alternate Art),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10079.jpg,
CB32,CB32-033,033,Master Rare,Ultraman Blazar ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10033.jpg,
CB32,CB32-033,080,Master Rare (Secret),Ultraman Blazar ［2］(Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10080.jpg,
CB32,CB32-034,034,Rare,Ultra Brothers First Generation Ultraman ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10034.jpg,
CB32,CB32-035,035,Common,Ultra Brothers Ultraman Taro ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10035.jpg,
CB32,CB32-036,036,Rare,The SpecialTacticalMonster Earth Garon Mod.2,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10036.jpg,
CB32,CB32-037,037,Common,"The Superhuman who Watches Over the Space, Ultraman King",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10037.jpg,
CB32,CB32-038,038,Master Rare,Ultraman Nexus Anphans,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10038.jpg,
CB32,CB32-038,081,Master Rare (Secret),Ultraman Nexus Anphans (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10081.jpg,
CB32,CB32-039,039,Rare,Ultraman Geed Primitive ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10039.jpg,
CB32,CB32-040,040,Rare,Luna Miracle Zero,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10040.jpg,
CB32,CB32-041,041,Common,Ultraman Zett Alpha Edge ［4］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10041.jpg,
CB32,CB32-042,042,Rare,Ultraman Nexus Junis Blue,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10042.jpg,
CB32,CB32-043,043,Common,Strong Corona Zero,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10043.jpg,
CB32,CB32-044,044,Rare,"Zero's Father, Ultraseven",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10044.jpg,
CB32,CB32-045,045,Master Rare,Ultimate Zero,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10045.jpg,
CB32,CB32-046,046,Rare,Arc Eye Sword,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10046.jpg,
CB32,CB32-047,047,Master Rare,Ultimate Aegis,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10047.jpg,
CB32,CB32-048,048,Common,"The Scientific Kaiju Investigation and Prevention Center, SKIP",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10048.jpg,
CB32,CB32-049,049,Rare,The Belial Galactic Empire,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10049.jpg,
CB32,CB32-050,050,Master Rare,Nebula House,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10050.jpg,
CB32,CB32-051,051,Rare,RE.M.,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10051.jpg,
CB32,CB32-052,052,Common,Planet K76,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10052.jpg,
CB32,CB32-053,053,Common,Arch Deathcium Ray,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10053.jpg,
CB32,CB32-054,054,Common,Arc Finalize,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10054.jpg,
CB32,CB32-055,055,Common,Wrecking Burst,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10055.jpg,
CB32,CB32-056,056,Rare,Balkey Chorus,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10056.jpg,
CB32,CB32-057,057,Rare,Arc Giga Barrier,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10057.jpg,
CB32,CB32-058,058,Common,Wide Zero Shot,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10058.jpg,
CB32,CB32-CX01,062,X-Rare,"The Giant of Light who Protects the Future, Ultraman Arc",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10062.jpg,
CB32,CB32-CX01,085,X-Rare (Secret),"The Giant of Light who Protects the Future, Ultraman Arc (Alternate Art)",FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10085.jpg,
CB32,CB32-CX02,063,X-Rare,"The Fated Hero, Ultraman Geed Primitive",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10063.jpg,
CB32,CB32-CX02,086,X-Rare (Secret),"The Fated Hero, Ultraman Geed Primitive (Alternate Art)",FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10086.jpg,
CB32,CB32-CX03,064,X-Rare,"The Young Ultra Hero, Ultraman Zero",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10064.jpg,
CB32,CB32-CX03,087,X-Rare (Secret),"The Young Ultra Hero, Ultraman Zero (Alternate Art)",FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10087.jpg,
CB32,CB32-CX04,065,X-Rare,"The Emperor of Belial Galactic Empire, Kaiser Belial",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10065.jpg,
CB32,CB32-CX04,088,X-Rare (Secret),"The Emperor of Belial Galactic Empire, Kaiser Belial (Alternate Art)",FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10088.jpg,
CB32,CB32-X01,066,X-Rare,Ultraman Arc Galaxy Armor,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10066.jpg,
CB32,CB32-X01,089,X-Rare (Secret),Ultraman Arc Galaxy Armor (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10089.jpg,
CB32,CB32-X02,067,X-Rare,The GreatGalacticEmperor Arch Belial,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10067.jpg,
CB32,CB32-X02,090,X-Rare (Secret),The GreatGalacticEmperor Arch Belial (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10090.jpg,
CB32,CB32-X03,068,X-Rare,Ultraman Geed Ultimate Final,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10068.jpg,
CB32,CB32-X03,091,X-Rare (Secret),Ultraman Geed Ultimate Final (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10091.jpg,
CB32,CB32-X04,069,X-Rare,The Twin-HeadedKaiju Pandon ［First Generation Ultra Kaiju］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10069.jpg,
CB32,CB32-X04,092,X-Rare (Secret),The Twin-HeadedKaiju Pandon ［First Generation Ultra Kaiju］(Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10092.jpg,
CB32,CB32-X05,070,X-Rare,"The New Ultra Brothers, Ultraman Mebius",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10070.jpg,
CB32,CB32-X05,093,X-Rare (Secret),"The New Ultra Brothers, Ultraman Mebius (Alternate Art)",FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10093.jpg,
CB32,CB32-X06,071,X-Rare,Shining Ultraman Zero,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10071.jpg,
CB32,CB32-X06,094,X-Rare (Secret),Shining Ultraman Zero (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10094.jpg,
CB32,CB32-XX01,072,XX-Rare,Ultraman Noa,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10072.jpg,
CB32,CB32-XX01,095,XX-Rare (Secret),Ultraman Noa (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10095.jpg,Beam direct at me
CB32,CB32-CP01,059,N/A,The BabyKaiju Emi ,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10059.jpg,
CB32,CB32-CP01,082,Secret,The BabyKaiju Emi (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10082.jpg,
CB32,CB32-CP02,060,N/A,The KaijuQueen Gigantron,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10060.jpg,
CB32,CB32-CP02,083,Secret,The KaijuQueen Gigantron (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10083.jpg,
CB32,CB32-CP03,061,N/A,Ultraman ［Ultraman: Rising］ ,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10061.jpg,
CB32,CB32-CP03,084,Secret,Ultraman ［Ultraman: Rising］ (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10084.jpg,
CB18,CB18-X04,073,X-Rare,The PhantomDemon Jugglus Juggler［Ultra Kaiju 2020］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10073.jpg,
CB18,CB18-X04,096,X-Rare (Secret),The PhantomDemon Jugglus Juggler［Ultra Kaiju 2020］ (Alternate Art),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10096.jpg,
CB32,PB08-013,074,X-Rare,Giga Battle Nizer ,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10074.jpg,
CB32,PB08-013,097,X-Rare (Secret),Giga Battle Nizer (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10097.jpg,
CB32,PB08-X02,075,X-Rare,Personification of Evil Ultraman Belial ,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10075.jpg,
CB32,PB08-X02,098,X-Rare (Secret),Personification of Evil Ultraman Belial (Alternate Art),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10098.jpg,
SD56,SD56-RV008,103,Common,Burst Flame (Revival),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10103.jpg,Ultraman Arc
BS53,BS53-070,100,Common,Dragoon Shoot,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10100.jpg,Belial
BS56,BS56-RV003,101,Common,Neo-Hand Reverse (Revival),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10101.jpg,Eleking
BS44,BS44-092,099,Common,Artemic Shield,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10099.jpg,UltraSeven
BS63,BS63-CP12,102,Rare,Strong Draw (Revival),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10102.jpg,Ultraman Zero
