Set,ID,Number,Name,Rarity,Owned,Link
CB18,CB18-044 (A),044,Ultraman Tiga Multi Type (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-044 (B),044,Ultraman Tiga Sky Type (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10044.jpg
CB18,CB18-045,045,Ultraman Trigger Multi Type,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10045.jpg
CB18,CB18-046,046,The SuperAncientGiantOfLight Ultraman Tiga,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10046.jpg
CB18,CB18-046,074,The SuperAncientGiantOfLight Ultraman Tiga (w/ Parallel Art),Rare (Secret),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10074.jpg
CB18,CB18-047,047,The YoungUltraWarrior Ultraman Zero,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10047.jpg
CB18,CB18-048,048,Ultraman Dyna Miracle Type,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10048.jpg
CB18,CB18-049 (A),049,Ultraman Tiga Multi Type (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-049 (B),049,Ultraman Tiga Power Type (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10049.jpg
CB18,CB18-050,050,Ultraman Gaia (SV),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10050.jpg
CB18,CB18-051,051,The PhantomWorldSword Beliarok,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10051.jpg
CB18,CB18-052,052,New Generation Ultraman,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10052.jpg
CB18,CB18-053,053,Celebro Kaburagi-Possessed Form［Ultra Kaiju 2020］,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10053.jpg
CB18,CB18-054,054,The Special Tactical Operations Regimental Airborne and Ground Equipment STORAGE Headquarters,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10054.jpg
CB18,CB18-055,055,The Giants' Statues,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10055.jpg
CB18,CB18-056,056,Ultraman No. 6 Ultraman Taro,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10056.jpg
CB18,CB18-056,075,Ultraman No. 6 Ultraman Taro (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10075.jpg
CB18,CB18-057,057,Zett's Master Ultraman Zero,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10057.jpg
CB18,CB18-057,076,Zett's Master Ultraman Zero (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10076.jpg
CB18,CB18-058,058,The CrimsonFighter Ultraseven,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10058.jpg
CB18,CB18-059,059,Reiga Ultimate Blaster,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10059.jpg
CB18,CB18-060,060,Atros Burst,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10060.jpg
CB18,CB18-061,061,Zestium Ray,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10061.jpg
CB18,CB18-062,062,Glitter Zeperion Ray,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10062.jpg
CB18,CB18-X01,063,The SuperCombinationKaiju Five King［Ultra Kaiju 2020］,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10063.jpg
CB18,CB18-X02,064,New Generation Ultraman Reiga,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10064.jpg
CB18,CB18-X02,077,New Generation Ultraman Reiga (w/ Parallel Art),X-Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10077.jpg
CB18,CB18-X03,065,Ultraman Belial Atrocious,X-Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10065.jpg
CB18,CB18-X04,066,The PhantomDemon Jugglus Juggler［Ultra Kaiju 2020］,X-Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10066.jpg
CB18,CB18-X05,067,Ultraman Zett Delta Rise Claw ,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10067.jpg
CB18,CB18-X05,078,Ultraman Zett Delta Rise Claw (w/ Parallel Art),X-Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10078.jpg
CB18,CB18-X06,068,The LightOfHope Glitter Tiga,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10068.jpg
CB18,CB18-XX01,069,Ultraman King,XX-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10069.jpg
