Set,ID,Number,Name,Rarity,Owned,Link
CB22,CB22-039,039,Self-propelled Multipurpose Weapon Type King Joe STORAGE Custom Tank Mode,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10039.jpg
CB22,CB22-040,040,Ultra Brothers Ultraman Leo,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10040.jpg
CB22,CB22-041,041,Ultra Brothers Zoffy,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10041.jpg
CB22,CB22-042,042,Special Aircraft No. 1 Sevenger ~Sevenger Fight~,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10042.jpg
CB22,CB22-043,043,Ultra Brothers Ultraman Jack ,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10043.jpg
CB22,CB22-043,076,Ultra Brothers Ultraman Jack (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10076.jpg
CB22,CB22-044,044,Ultra Brothers Ultraman Mebius,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10044.jpg
CB22,CB22-045,045,Ultra Brothers Ultraseven,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10045.jpg
CB22,CB22-046,046,Ultraman Zett Delta Rise Claw ［2］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10046.jpg
CB22,CB22-047,047,Ultraman Tiga Sky Type,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10047.jpg
CB22,CB22-048,048,Ultraman Tiga Power Type,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10048.jpg
CB22,CB22-049,049,Glitter Tiga ［2］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10049.jpg
CB22,CB22-050,050,Circle Arms,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10050.jpg
CB22,CB22-051,051,Brothers' Mantle,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10051.jpg
CB22,CB22-052,052,The Anti-Kaiju Battleship Nursedessei,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10052.jpg
CB22,CB22-053,053,Giants of Darkness' Gathering Place,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10053.jpg
CB22,CB22-054,054,The Four-Dimensional Kaiju Bullton［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10054.jpg
CB22,CB22-055,055,Ultraman Trigger & Ultraman Tiga,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10055.jpg
CB22,CB22-056,056,The Transforming Phantom Zetton Seijin［First Generation Ultra Kaiju］,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10056.jpg
CB22,CB22-057,057,Ultra Brothers' Father Ultraman Ken,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10057.jpg
CB22,CB22-058,058,Zeperion Ray (Trigger),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10058.jpg
CB22,CB22-059,059,Dark Zeperion Ray,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10059.jpg
CB22,CB22-060,060,Mega-Ton Tail,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10060.jpg
CB22,CB22-061,061,Eye Slugger,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10061.jpg
CB22,CB22-062,062,Timer Flash,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10062.jpg
CB22,CB22-X01,063,Trigger Truth,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10063.jpg
CB22,CB22-X02,064,The EvilGod Megalothor (Second Form),X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10064.jpg
CB22,CB22-X03,065,The MaliciousAlien Mefilas Seijin［First Generation Ultra Kaiju］,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10065.jpg
CB22,CB22-X03,077,The MaliciousAlien Mefilas Seijin［First Generation Ultra Kaiju］ (w/ Parallel Art),X-Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10077.jpg
CB22,CB22-X04,066,The SpaceDinosaur Zetton［First Generation Ultra Kaiju］ ,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10066.jpg
CB22,CB22-X04,078,The SpaceDinosaur Zetton［First Generation Ultra Kaiju］ (w/ Parallel Art),X-Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10078.jpg
CB22,CB22-X05,067,Ultra Brothers First Generation Ultraman,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10067.jpg
CB22,CB22-X06,068,Ultraman Tiga Multi Type,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10068.jpg
CB22,CB22-XX01,069,The FriendlyMonster Pigmon［First Generation Ultra Kaiju］& CoinKaiju Kanegon,XX-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10069.jpg
